dataset,station_id,station_name,province,model,H_star_skill,H_star_evento,H_star_fidelidad,H_star_skill_censored,H_star_evento_censored,H_star_fidelidad_censored,min_n_exceedances_est,n_horizons_available
e1_rr_43004005_10_M,43004005_10_M,Alcanar Llar de Jubilats,Tarragona,ridge_direct,7,,0,True,False,False,12.0,7
e1_rr_43004005_10_M,43004005_10_M,Alcanar Llar de Jubilats,Tarragona,sarima,7,,0,True,False,False,1.0,7
e1_rr_43004005_10_M,43004005_10_M,Alcanar Llar de Jubilats,Tarragona,seasonal_naive,0,,7,False,False,True,12.0,7
e1_rr_43004005_10_M,43004005_10_M,Alcanar Llar de Jubilats,Tarragona,stl_ridge_direct,0,,7,False,False,True,12.0,7
e1_rr_43004006_10_M,43004006_10_M,Alcanar Montecarlo,Tarragona,hgb_direct,7,0.0,0,True,False,False,34.0,7
e1_rr_43004006_10_M,43004006_10_M,Alcanar Montecarlo,Tarragona,ridge_direct,7,0.0,0,True,False,False,34.0,7
e1_rr_43004006_10_M,43004006_10_M,Alcanar Montecarlo,Tarragona,sarima,7,,0,True,False,False,1.0,7
e1_rr_43004006_10_M,43004006_10_M,Alcanar Montecarlo,Tarragona,seasonal_naive,0,0.0,7,False,False,True,34.0,7
e1_rr_43004006_10_M,43004006_10_M,Alcanar Montecarlo,Tarragona,stl_ridge_direct,0,0.0,7,False,False,True,34.0,7
e1_rr_44013007_10_M,44013007_10_M,Alcaniz Capuchinos,Teruel,hgb_direct,7,0.0,0,True,False,False,100.0,7
e1_rr_44013007_10_M,44013007_10_M,Alcaniz Capuchinos,Teruel,ridge_direct,7,0.0,0,True,False,False,100.0,7
e1_rr_44013007_10_M,44013007_10_M,Alcaniz Capuchinos,Teruel,sarima,7,,0,True,False,False,4.0,7
e1_rr_44013007_10_M,44013007_10_M,Alcaniz Capuchinos,Teruel,seasonal_naive,0,0.0,7,False,False,True,100.0,7
e1_rr_44013007_10_M,44013007_10_M,Alcaniz Capuchinos,Teruel,stl_ridge_direct,0,0.0,7,False,False,True,100.0,7
e1_rr_44216001_10_M,44216001_10_M,Teruel,Teruel,hgb_direct,7,,0,True,False,False,18.0,7
e1_rr_44216001_10_M,44216001_10_M,Teruel,Teruel,ridge_direct,7,,0,True,False,False,18.0,7
e1_rr_44216001_10_M,44216001_10_M,Teruel,Teruel,sarima,7,,0,True,False,False,0.0,7
e1_rr_44216001_10_M,44216001_10_M,Teruel,Teruel,seasonal_naive,0,,7,False,False,True,18.0,7
e1_rr_44216001_10_M,44216001_10_M,Teruel,Teruel,stl_ridge_direct,0,,7,False,False,True,18.0,7
e1_rr_45153999_10_M,45153999_10_M,San Pablo de los Montes,Toledo,hgb_direct,7,0.0,0,True,False,False,35.0,7
e1_rr_45153999_10_M,45153999_10_M,San Pablo de los Montes,Toledo,ridge_direct,7,0.0,0,True,False,False,35.0,7
e1_rr_45153999_10_M,45153999_10_M,San Pablo de los Montes,Toledo,sarima,7,,1,True,False,False,2.0,7
